,Palavras,"(Documento, Ocorrência)"
0,obrigaria,"[(91, 1), (213, 1)]"
1,sobrepõem,"[(129, 1), (217, 1)]"
2,bloqueou,"[(69, 1), (206, 1)]"
3,explodindo,"[(11, 1)]"
4,suzano,"[(214, 5), (239, 7)]"
5,francesco,"[(73, 1), (97, 1)]"
6,impotente,"[(29, 1)]"
7,prazo,"[(128, 1), (65, 1), (70, 1), (129, 2), (137, 2), (138, 4), (143, 1), (144, 1), (18, 1), (213, 1), (153, 1), (88, 1), (100, 1), (207, 1), (29, 1), (97, 1), (34, 1), (36, 1), (37, 2), (40, 1), (60, 1), (112, 1), (124, 1), (125, 1), (63, 1)]"
8,farão,"[(185, 1), (189, 1)]"
9,paternalista,"[(11, 1)]"
10,igual,"[(32, 1), (178, 1), (19, 1), (196, 1), (86, 1), (103, 1), (25, 1), (217, 1), (211, 1)]"
11,1939.,"[(184, 1)]"
12,meloso,"[(186, 1)]"
13,rickman,"[(198, 1)]"
14,pontuou,"[(241, 1)]"
15,apareçam,"[(99, 1), (197, 1), (70, 1)]"
16,sowell,"[(110, 1)]"
17,assessores.jair,"[(207, 1)]"
18,atingir,"[(152, 1), (134, 1), (151, 1), (136, 1), (188, 1), (249, 1), (124, 2), (237, 1), (46, 1), (63, 1)]"
19,atingiu,"[(162, 1), (184, 2), (185, 1), (207, 1), (108, 1), (175, 1)]"
20,americanos.juntas,"[(165, 1)]"
21,moderadas,"[(107, 1)]"
22,planejamento,"[(19, 1), (161, 1), (178, 1), (115, 2), (147, 1), (37, 1), (241, 1), (217, 1), (220, 1), (222, 2)]"
23,falofórias,"[(164, 2)]"
24,cível,"[(162, 1)]"
25,anulou,"[(241, 1), (38, 1)]"
26,péssimas,"[(129, 1)]"
27,274,"[(185, 1)]"
28,operação.essa,"[(241, 1)]"
29,inestimáveis,"[(76, 1)]"
30,derrotado,"[(16, 1), (245, 1)]"
31,expressivos,"[(152, 1), (236, 1)]"
32,regulação.o,"[(28, 1)]"
33,montevidéu,"[(87, 1)]"
34,apressou,"[(76, 1)]"
35,coaduna,"[(241, 1)]"
36,dialoga,"[(12, 1)]"
37,esquerda-direita,"[(69, 1)]"
38,pavelka,"[(116, 1)]"
39,china,"[(32, 1), (129, 1), (69, 2), (134, 1), (136, 1), (119, 3), (144, 1), (20, 1), (23, 1), (56, 1), (89, 1), (127, 1)]"
40,moderada,"[(132, 1)]"
41,linha,"[(235, 2), (243, 1), (136, 1), (215, 1), (13, 1), (79, 3), (82, 1), (147, 1), (151, 1), (216, 1), (25, 3), (218, 1), (143, 2), (220, 1), (221, 1), (185, 1), (31, 1), (96, 1), (162, 1), (99, 1), (163, 1), (230, 1), (227, 1), (105, 1), (107, 1), (45, 1), (51, 1), (244, 1), (120, 1), (121, 1), (223, 1), (60, 1), (63, 1)]"
42,mestres,"[(198, 1)]"
43,sumindo,"[(183, 1)]"
44,acertar,"[(182, 2), (55, 1)]"
45,parreira,"[(121, 1)]"
46,controversa,"[(3, 1)]"
47,controverso,"[(50, 1)]"
48,golden,"[(164, 1), (21, 1)]"
49,wikimedia,"[(188, 1)]"
50,correção,"[(186, 1), (5, 1)]"
51,recessivos,"[(138, 1)]"
52,battisti,"[(73, 5)]"
53,dna,"[(152, 1)]"
54,insistiam,"[(36, 1)]"
55,music,"[(191, 1), (197, 1), (183, 1)]"
56,barcelonês,"[(137, 1)]"
57,rapidamente,"[(161, 1), (230, 2), (166, 1), (39, 1), (40, 1), (92, 1), (151, 1), (108, 1), (143, 2), (150, 1), (55, 2), (216, 1), (185, 1), (218, 1), (28, 1)]"
58,posteriormente,"[(177, 1), (194, 1), (5, 1), (197, 2), (217, 1), (47, 1), (94, 1), (63, 2)]"
59,contínua,"[(96, 1), (248, 1), (147, 2), (203, 1)]"
60,mexer,"[(228, 1)]"
61,contínuo,"[(60, 1)]"
62,atividade-fim,"[(76, 1)]"
63,hermann,"[(244, 1)]"
64,evidência,"[(3, 1), (206, 1), (47, 1), (13, 2), (174, 2), (175, 1)]"
65,mexem,"[(133, 1)]"
66,parágrafo,"[(202, 1), (63, 1)]"
67,destruiu,"[(177, 1), (13, 1), (246, 1)]"
68,destruir,"[(105, 1), (151, 1), (173, 1), (129, 1)]"
69,kampala,"[(157, 1)]"
70,reviravoltas.acaba,"[(86, 1)]"
71,adquiriu,"[(27, 1)]"
72,cadernos,"[(193, 1)]"
73,chamava,"[(240, 1), (14, 1), (151, 1)]"
74,adquirir,"[(22, 1)]"
75,morte.partiu,"[(177, 1)]"
76,faltavam,"[(184, 1)]"
77,rythme,"[(5, 1)]"
78,absoluto,"[(166, 1), (77, 1), (86, 1), (7, 1)]"
79,absoluta,"[(25, 1), (133, 1), (206, 1), (31, 2)]"
80,regulamentação,"[(242, 1), (125, 1)]"
81,agredindo,"[(230, 2)]"
82,2025.,"[(136, 1)]"
83,suculentos,"[(86, 1)]"
84,pensarem,"[(92, 1)]"
85,anotado,"[(13, 1)]"
86,sócios,"[(107, 2), (69, 1)]"
87,votarem,"[(91, 1)]"
88,sede,"[(130, 1), (132, 1), (246, 1), (135, 2), (8, 1), (139, 1), (204, 2), (205, 1), (84, 3), (217, 2), (95, 1), (225, 1), (34, 1), (162, 1), (102, 1), (39, 1), (40, 1), (42, 1), (108, 1), (111, 1), (118, 1), (126, 1), (63, 1)]"
89,ordenar,"[(125, 1), (63, 1)]"
90,surgiam,"[(184, 1)]"
91,parbat,"[(244, 6), (46, 5)]"
92,transformavam,"[(146, 1)]"
93,piorada,"[(198, 1)]"
94,nutrindo,"[(173, 1)]"
95,aposentava,"[(187, 1)]"
96,retrógrada,"[(25, 1)]"
97,retrógrado,"[(248, 1)]"
98,rompeu,"[(105, 1), (197, 1), (121, 1), (57, 1), (138, 1), (107, 1)]"
99,romper,"[(144, 1), (65, 1), (148, 1), (22, 1), (113, 1), (152, 1), (23, 1)]"
100,comentem,"[(19, 1)]"
101,cacarejar,"[(156, 1)]"
102,salienta,"[(112, 1), (133, 1), (70, 1)]"
103,prontamente,"[(212, 1), (92, 1)]"
104,detalhadamente,"[(115, 1)]"
105,cerrado,"[(120, 1)]"
106,combatendo,"[(173, 1)]"
107,elucidado,"[(151, 1)]"
108,hunschofsky,"[(80, 1)]"
109,prosperasse,"[(81, 1)]"
110,fiz,"[(50, 1), (4, 1), (69, 1), (198, 1), (199, 1), (249, 1), (73, 1), (187, 1), (114, 1), (63, 2)]"
111,leituras,"[(193, 2)]"
112,fio,"[(208, 1)]"
113,fim,"[(1, 1), (235, 1), (6, 1), (7, 1), (137, 2), (138, 3), (11, 1), (140, 1), (16, 2), (216, 1), (149, 1), (150, 1), (151, 2), (225, 1), (158, 2), (31, 1), (32, 1), (134, 1), (167, 2), (169, 2), (46, 1), (47, 1), (50, 1), (51, 1), (180, 1), (181, 1), (182, 1), (55, 2), (185, 1), (190, 1), (63, 2), (65, 2), (139, 1), (69, 1), (71, 1), (73, 1), (75, 1), (76, 1), (205, 3), (206, 1), (81, 1), (210, 1), (212, 1), (215, 1), (88, 2), (95, 2), (97, 1), (103, 2), (104, 1), (39, 1), (111, 1), (241, 1), (115, 1), (204, 1), (245, 1), (246, 1), (41, 2), (248, 3), (249, 2), (124, 1)]"
114,pt-ce,"[(240, 1)]"
115,mesmos.,"[(196, 1)]"
116,previsíveis,"[(210, 1)]"
117,arrebentado,"[(151, 1)]"
118,nóbrega,"[(151, 4), (7, 1)]"
119,necessário,"[(69, 1), (203, 1), (144, 1), (82, 2), (163, 1), (84, 1), (151, 1), (153, 1), (26, 1), (233, 1), (92, 1), (93, 1), (37, 1), (32, 1), (197, 1), (99, 1), (36, 1), (165, 1), (227, 1), (220, 1), (108, 1), (18, 1), (19, 1), (119, 1), (217, 1), (124, 1), (63, 3)]"
120,necessária,"[(32, 1), (65, 1), (197, 1), (37, 1), (150, 1), (152, 1), (112, 1), (60, 1), (46, 1), (143, 1)]"
121,adágio,"[(129, 1)]"
122,estocolmo,"[(4, 1)]"
123,folha,"[(16, 1), (37, 1), (207, 1)]"
124,expunham,"[(175, 1)]"
125,iraquianas,"[(249, 2), (245, 1)]"
126,cristalizaram,"[(167, 1)]"
127,allah,"[(117, 1)]"
128,39.,"[(60, 1)]"
129,391,"[(90, 1)]"
130,absolveu,"[(241, 1)]"
131,relatórios,"[(185, 1), (92, 1)]"
132,araguaia.a,"[(208, 1)]"
133,ordenamento,"[(165, 1), (206, 1)]"
134,ratificou,"[(106, 1)]"
135,atiçar,"[(238, 1)]"
136,caderno,"[(13, 1)]"
137,hatoyama,"[(84, 1)]"
138,mandava,"[(160, 1)]"
139,portão,"[(14, 1), (95, 1)]"
140,humanidade,"[(114, 1), (198, 1), (166, 2), (151, 1), (169, 2), (223, 3), (188, 1), (194, 1), (174, 1), (95, 1)]"
141,parentes,"[(128, 1), (1, 1), (102, 2), (6, 1), (39, 2), (169, 1), (7, 1), (208, 1), (114, 2), (249, 1), (186, 1)]"
142,competem,"[(165, 1)]"
143,resumiu,"[(26, 1), (162, 1)]"
144,desgraça,"[(184, 1), (27, 1), (131, 1)]"
145,afirmações,"[(160, 1), (25, 1), (206, 1)]"
146,motivo.o,"[(112, 1)]"
147,desportos,"[(115, 4)]"
148,triunfou,"[(197, 1)]"
149,marcada.a,"[(212, 1)]"
150,compromisso,"[(1, 1), (3, 1), (133, 1), (103, 1), (73, 1), (173, 1), (111, 1), (209, 1), (116, 1), (86, 1), (215, 2), (90, 1), (207, 1), (60, 1), (222, 1)]"
151,triunfos,"[(121, 1)]"
152,levaram,"[(65, 1), (195, 1), (196, 1), (230, 1), (86, 1), (249, 1), (168, 1), (25, 1), (42, 1), (172, 1)]"
153,rememora,"[(224, 1), (10, 1), (110, 1)]"
154,curta-metragem,"[(198, 1)]"
155,encolhido,"[(174, 1)]"
156,rédeas,"[(107, 1), (191, 1), (63, 1)]"
157,ensaios,"[(193, 2), (11, 1), (201, 1)]"
158,preliminares,"[(203, 3), (36, 1)]"
159,miolos,"[(186, 1)]"
